id,description,start_location,start_latitude,start_longitude,end_location,end_latitude,end_longitude,time_window_start,time_window_end,capacity,alternative_capacities,skills,fixed_cost,max_tasks
41|67|Lube/Fuel,41|67 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[3500,0,0,0,0],[800,2700,0,0,0],[2700,800,0,0,0],[0,3500,0,0,0]]",,,
52|68|DEF Trailer,52|68 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[1500,0,0,0,0],[0,1500,0,0,0]]",,,
53|69|DEF Truck,53|69 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[660,0,0,0,0],[330,330,0,0,0],[0,660,0,0,0]]",,,
54|70|DEF Truck,54|70 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[660,0,0,0,0],[330,330,0,0,0],[0,660,0,0,0]]",,,
55|71|Dualie 1 Ton,55|71 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[230,0,0,0,0],[115,115,0,0,0],[0,230,0,0,0]]",,,
57|72|Dualie 1 Ton,57|72 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[230,0,0,0,0],[115,115,0,0,0],[0,230,0,0,0]]",,,
62|73|Fuel Tanker,62|73 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[4200,0,0,0,0],[1100,3100,0,0,0],[3100,1100,0,0,0],[0,4200,0,0,0]]",,,
63|74|Fuel Tanker,63|74 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[4200,0,0,0,0],[1000,3200,0,0,0],[3200,1000,0,0,0],[0,4200,0,0,0]]",,,
64|75|Fuel Tanker,64|75 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[4600,0,0,0,0],[1250,3350,0,0,0],[3350,1250,0,0,0],[0,4600,0,0,0]]",,,
65|76|Fuel Tanker,65|76 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[4600,0,0,0,0],[1250,3350,0,0,0],[3350,1250,0,0,0],[0,4600,0,0,0]]",,,
66|77|Fuel Tanker,66|77 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[4000,0,0,0,0],[500,3500,0,0,0],[3500,500,0,0,0],[0,4000,0,0,0]]",,,
68|78|Fuel Tanker,68|78 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
69|79|Fuel Tanker,69|79 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
70|80|Fuel Tanker,70|80 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[4000,0,0,0,0],[500,3500,0,0,0],[3500,500,0,0,0],[0,4000,0,0,0]]",,,
71|81|Fuel Tanker,71|81 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
72|82|Fuel Tanker,72|82 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
73|83|Fuel Tanker,73|83 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
74|84|Fuel Tanker,74|84 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
75|85|Fuel Tanker,75|85 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
76|86|Fuel Tanker,76|86 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
77|87|Fuel Tanker,77|87 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
78|88|Fuel Tanker,78|88 Arizona,"33.434477, -112.18419",33.434477,-112.18419,"33.434477, -112.18419",33.434477,-112.18419,2025-07-16 12:00:00,2025-07-16 22:00:00,"[1,1,0,0,0]","[[2500,0,0,0,0],[1000,1500,0,0,0],[1500,1000,0,0,0],[0,2500,0,0,0]]",,,
